code,name,cap,price,per,pbr,eps,bps,div,cns_per,roe,debt,op_margin,op_growth,fy
004990,롯데지주,2406900000000.0,23800.0,nan,0.29,-3837.0,83300.0,5.18,29.34,-10.51,144.87,1.54,-0.2969162995594714,202512
204320,HL만도,2361900000000.0,50400.0,13.97,0.8,3600.0,62646.0,1.49,11.72,3.82,148.16,3.78,-0.004738015607580803,202512
000240,한국앤컴퍼니,2349600000000.0,24150.0,5.94,0.45,4167.0,54762.0,4.44,nan,7.52,10.01,28.24,-0.016017212526894586,202512
279570,케이뱅크,2312500000000.0,5640.0,16.62,0.96,343.0,5968.0,nan,nan,5.4,1367.21,8.77,-0.11954887218045118,202512
181710,NHN,2282900000000.0,70100.0,32.82,1.42,2124.0,48960.0,0.72,21.67,2.2,117.49,5.26,nan,202512
007070,GS리테일,2228100000000.0,25750.0,17.18,0.66,1551.0,40141.0,2.25,9.91,1.34,128.41,2.44,0.14057008980866859,202512
030000,제일기획,2224900000000.0,19000.0,10.11,1.22,1913.0,15916.0,6.36,9.95,13.7,125.93,7.41,0.05051449953227305,202512
009970,영원무역홀딩스,2221600000000.0,168100.0,5.35,0.61,32086.0,280536.0,3.83,nan,12.83,32.34,15.02,0.4226305609284333,202512
081660,미스토홀딩스,2195300000000.0,40800.0,8.5,1.01,4864.0,40975.0,4.79,7.52,11.39,112.73,10.63,0.3159645232815964,202512
014680,한솔케미칼,2191200000000.0,206000.0,14.86,1.99,13662.0,102067.0,1.28,13.3,14.34,35.94,17.67,0.21273291925465831,202512
005440,현대지에프홀딩스,2175100000000.0,12020.0,5.25,0.35,2259.0,34266.0,2.53,5.98,11.18,43.57,3.39,0.38364462392730947,202512
002790,아모레퍼시픽홀딩스,2140800000000.0,26300.0,18.59,0.71,1506.0,39318.0,1.43,nan,3.64,21.2,7.96,0.4761331728840754,202512
018670,SK가스,2131900000000.0,230500.0,6.9,0.55,33341.0,420856.0,3.91,nan,8.24,155.42,5.77,0.541782729805014,202512
051600,한전KPS,2117300000000.0,46900.0,16.31,1.57,2885.0,29928.0,3.51,14.17,9.29,26.58,8.89,-0.33126491646778045,202512
073240,금호타이어,2114200000000.0,7110.0,4.44,0.87,1659.0,8433.0,nan,5.19,18.53,147.44,12.25,-0.021576622494053677,202512
456600,TIME 글로벌AI인공지능액티브,nan,57865.0,nan,nan,nan,nan,nan,nan,,,,,
112610,씨에스윈드,2083300000000.0,49850.0,479.61,1.6,103.0,30897.0,2.02,11.21,3.02,167.68,10.93,0.2536203522504892,202512
139480,이마트,2072400000000.0,74000.0,97.66,0.15,769.0,490692.0,3.33,-610.57,1.27,144.61,1.11,5.8471337579617835,202512
069960,현대백화점,2014200000000.0,95200.0,9.05,0.43,10322.0,217975.0,2.3,7.51,4.64,78.26,8.93,0.33063380281690136,202512
457190,이수스페셜티케미컬,1997500000000.0,66700.0,301.83,14.42,219.0,4583.0,nan,nan,0.6,175.79,0.39,-0.8873239436619719,202512
462870,시프트업,1932600000000.0,32700.0,10.61,1.92,3100.0,17091.0,nan,14.07,22.71,17.6,61.59,0.18795022920759652,202512
475150,SK이터닉스,1900900000000.0,55800.0,253.64,7.07,220.0,7888.0,nan,65.03,11.93,382.37,13.74,0.40957446808510634,202512
439260,대한조선,1866300000000.0,49350.0,6.18,1.56,7925.0,31476.0,0.51,6.17,32.19,40.8,23.95,0.8602150537634408,202512
020150,롯데에너지머티리얼즈,1848500000000.0,35200.0,nan,1.07,-1556.0,32887.0,nan,-47.19,-10.54,23.15,-21.44,nan,202512
071970,HD현대마린엔진,1801200000000.0,53600.0,9.25,3.45,5740.0,15390.0,nan,13.93,41.36,66.64,18.87,1.286144578313253,202512
089860,롯데렌탈,1732000000000.0,47250.0,14.62,1.1,3262.0,43521.0,2.52,12.53,8.39,372.31,10.71,0.0972612359550562,202512
023590,다우기술,1707700000000.0,38450.0,2.34,0.44,16838.0,89993.0,4.56,nan,15.95,1006.86,8.91,0.3274027411253937,202512
006040,동원산업,1706000000000.0,37750.0,3.94,0.45,9808.0,86550.0,2.98,4.41,11.61,110.1,5.39,0.029523239577099458,202512
000120,CJ대한통운,1704100000000.0,73300.0,7.64,0.36,9773.0,209877.0,1.07,8.19,5.98,132.88,4.14,-0.04258526474467683,202512
120110,코오롱인더,1692000000000.0,53000.0,12.85,0.43,4397.0,131731.0,2.3,8.05,1.01,88.99,2.23,-0.31379962192816635,202512
008770,호텔신라,1687700000000.0,42200.0,nan,1.43,-3458.0,30119.0,nan,14.94,-14.46,220.14,0.33,nan,202512
011210,현대위아,1623500000000.0,59300.0,22.89,0.43,2608.0,139961.0,2.01,10.78,2.75,72.8,2.41,-0.06581352833638021,202512
020560,아시아나항공,1582000000000.0,7530.0,nan,11.93,-5754.0,644.0,nan,nan,-34.48,1370.19,-4.75,-2.2520856002901706,202512
001800,오리온홀딩스,1576100000000.0,25300.0,11.68,0.62,2243.0,42358.0,4.2,nan,5.01,19.93,14.37,-0.03654681943895688,202512
097230,HJ중공업,1549500000000.0,17160.0,10.81,2.06,1588.0,8339.0,nan,nan,10.15,266.36,3.35,8.191780821917808,202512
